本能期训练报告 —— 站立任务
时间: 2026-09-05 18:20:00
本能区连接数: 582 | 每代婴儿: 96 x 2回合 | 最长回合: 3.0 秒
参数: 起步扰动 0.35 -> 最小 0.02 | 成功标准 2.6 秒

第   1 代 | 本代最佳 0.45 秒 | 精英平均 0.37 秒 | 历史最佳 0.45 秒 | 扰动 0.349 | 用时 1 秒
第  10 代 | 本代最佳 0.80 秒 | 精英平均 0.52 秒 | 历史最佳 0.80 秒 | 扰动 0.340 | 用时 1 秒
第  20 代 | 本代最佳 0.82 秒 | 精英平均 0.63 秒 | 历史最佳 0.97 秒 | 扰动 0.330 | 用时 1 秒
第  30 代 | 本代最佳 0.90 秒 | 精英平均 0.77 秒 | 历史最佳 1.00 秒 | 扰动 0.320 | 用时 1 秒
第  40 代 | 本代最佳 0.97 秒 | 精英平均 0.88 秒 | 历史最佳 1.00 秒 | 扰动 0.310 | 用时 1 秒
第  50 代 | 本代最佳 0.95 秒 | 精英平均 0.89 秒 | 历史最佳 1.01 秒 | 扰动 0.301 | 用时 1 秒
第  60 代 | 本代最佳 1.03 秒 | 精英平均 0.92 秒 | 历史最佳 1.03 秒 | 扰动 0.292 | 用时 2 秒
第  70 代 | 本代最佳 1.11 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.284 | 用时 2 秒
第  80 代 | 本代最佳 1.02 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.275 | 用时 2 秒
第  90 代 | 本代最佳 1.03 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.267 | 用时 2 秒
第 100 代 | 本代最佳 0.99 秒 | 精英平均 0.95 秒 | 历史最佳 1.26 秒 | 扰动 0.259 | 用时 3 秒
第 110 代 | 本代最佳 1.02 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.251 | 用时 3 秒
第 120 代 | 本代最佳 1.02 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.244 | 用时 3 秒
第 130 代 | 本代最佳 1.02 秒 | 精英平均 0.95 秒 | 历史最佳 1.26 秒 | 扰动 0.237 | 用时 3 秒
第 140 代 | 本代最佳 1.04 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.230 | 用时 4 秒
第 150 代 | 本代最佳 0.97 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.223 | 用时 4 秒
第 160 代 | 本代最佳 1.00 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.216 | 用时 4 秒
第 170 代 | 本代最佳 0.98 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.210 | 用时 4 秒
第 180 代 | 本代最佳 0.98 秒 | 精英平均 0.95 秒 | 历史最佳 1.26 秒 | 扰动 0.204 | 用时 5 秒
第 186 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 190 代 | 本代最佳 0.88 秒 | 精英平均 0.63 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 5 秒
第 200 代 | 本代最佳 1.04 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 5 秒
第 210 代 | 本代最佳 0.91 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 5 秒
第 220 代 | 本代最佳 0.95 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 6 秒
第 230 代 | 本代最佳 0.98 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 6 秒
第 240 代 | 本代最佳 1.03 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 6 秒
第 250 代 | 本代最佳 1.08 秒 | 精英平均 0.97 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 6 秒
第 260 代 | 本代最佳 1.11 秒 | 精英平均 1.00 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 7 秒
